sample_index,phase,capture_accepted,accept_reject_reason,target_label,command_target_id,command_target_index,commanded_cable_displacement_mm,target_cable_deltas_ticks,resolved_servo_goal_ticks,servo_positions_before_command,servo_positions_after_command,raw_tracker_translation_mm,robot_tip_translation_mm,tracker_stale_age_s,tracker_frame_number,runtime_tip_mode,runtime_tip_trust_level,runtime_telemetry_ok,runtime_telemetry_failure_code
0,approach,True,ok,T11,,,,"[0,-522,0,522]",,,,,,0.0,217568,,,True,
1,repeat,True,ok,T00,,,,"[0,0,0,0]",,,,,,0.0,219232,,,True,
2,approach,True,ok,T15,,,,"[0,522,0,-522]",,,,,,0.022362158983014524,220880,,,True,
3,repeat,True,ok,T00,,,,"[0,0,0,0]",,,,,,0.0,222552,,,True,
4,approach,True,ok,T06,,,,"[184,184,-184,-184]",,,,,,0.0,224184,,,True,
5,repeat,True,ok,T00,,,,"[0,0,0,0]",,,,,,0.03593513599480502,225840,,,True,
6,approach,True,ok,T02,,,,"[-184,-184,184,184]",,,,,,0.0,227504,,,True,
7,repeat,True,ok,T00,,,,"[0,0,0,0]",,,,,,0.03718209301587194,229176,,,True,
8,approach,True,ok,T10,,,,"[-369,-369,369,369]",,,,,,0.0,230840,,,True,
9,repeat,True,ok,T00,,,,"[0,0,0,0]",,,,,,0.037167500995565206,232496,,,True,
10,approach,True,ok,T03,,,,"[0,-261,0,261]",,,,,,0.03948626699275337,234144,,,True,
11,repeat,True,ok,T00,,,,"[0,0,0,0]",,,,,,0.0,235800,,,True,
12,approach,True,ok,T04,,,,"[184,-184,-184,184]",,,,,,0.0,237456,,,True,
13,repeat,True,ok,T00,,,,"[0,0,0,0]",,,,,,0.03821271800552495,239120,,,True,
14,approach,True,ok,T12,,,,"[369,-369,-369,369]",,,,,,0.038663993997033685,240768,,,True,
15,repeat,True,ok,T00,,,,"[0,0,0,0]",,,,,,0.03809073698357679,242416,,,True,
16,approach,True,ok,T14,,,,"[369,369,-369,-369]",,,,,,0.0,244112,,,True,
17,repeat,True,ok,T00,,,,"[0,0,0,0]",,,,,,0.03812947799451649,245760,,,True,
18,approach,True,ok,T08,,,,"[-184,184,184,-184]",,,,,,0.0,247432,,,True,
19,repeat,True,ok,T00,,,,"[0,0,0,0]",,,,,,0.03909143601777032,249088,,,True,
20,approach,True,ok,T09,,,,"[-522,0,522,0]",,,,,,0.0,250728,,,True,
21,repeat,True,ok,T00,,,,"[0,0,0,0]",,,,,,0.03808019999996759,252376,,,True,
22,approach,True,ok,T05,,,,"[261,0,-261,0]",,,,,,0.0,254048,,,True,
23,repeat,True,ok,T00,,,,"[0,0,0,0]",,,,,,0.0,255696,,,True,
24,approach,True,ok,T01,,,,"[-261,0,261,0]",,,,,,0.0,257368,,,True,
25,repeat,True,ok,T00,,,,"[0,0,0,0]",,,,,,0.0,259040,,,True,
26,approach,True,ok,T07,,,,"[0,261,0,-261]",,,,,,0.03623691198299639,260688,,,True,
27,repeat,True,ok,T00,,,,"[0,0,0,0]",,,,,,0.0,262336,,,True,
28,approach,True,ok,T16,,,,"[-369,369,369,-369]",,,,,,0.0,264008,,,True,
29,repeat,True,ok,T00,,,,"[0,0,0,0]",,,,,,0.0,265672,,,True,
30,approach,True,ok,T13,,,,"[522,0,-522,0]",,,,,,0.03721051898901351,267320,,,True,
31,repeat,True,ok,T00,,,,"[0,0,0,0]",,,,,,0.036930759990355,268976,,,True,
32,approach,True,ok,T04,,,,"[184,-184,-184,184]",,,,,,0.0,270624,,,True,
33,repeat,True,ok,T01,,,,"[-261,0,261,0]",,,,,,0.0,272280,,,True,
34,approach,True,ok,T08,,,,"[-184,184,184,-184]",,,,,,0.0,273952,,,True,
35,repeat,True,ok,T01,,,,"[-261,0,261,0]",,,,,,0.0,275624,,,True,
36,approach,True,ok,T14,,,,"[369,369,-369,-369]",,,,,,0.0386420669965446,277264,,,True,
