tool_id,qw,qx,qy,qz,x,y,z
0B,0.466424007,-0.521326833,0.598530807,-0.390420095,79.460000000,9.080000000,-257.710000000
0B,0.466252846,-0.520859035,0.598467831,-0.391344356,79.530000000,9.150000000,-257.800000000
0B,0.467930168,-0.520633566,0.599838673,-0.387524985,79.520000000,9.170000000,-257.750000000
0B,0.468528438,-0.521031625,0.600636457,-0.385023370,79.490000000,9.090000000,-257.620000000
0B,0.469530488,-0.522233910,0.601739072,-0.380424702,79.470000000,9.010000000,-257.530000000
0B,0.469544386,-0.522749415,0.602156922,-0.379035830,79.420000000,9.010000000,-257.500000000
0B,0.469248734,-0.521854197,0.601962517,-0.380939563,79.480000000,9.050000000,-257.520000000
0B,0.468617358,-0.521819329,0.601422277,-0.382614172,79.460000000,9.100000000,-257.600000000
0B,0.468838247,-0.520242441,0.601649082,-0.384131337,79.470000000,9.050000000,-257.650000000
0B,0.469029177,-0.520332368,0.601937445,-0.383323845,79.480000000,9.000000000,-257.560000000
0B,0.469972414,-0.519880104,0.603092926,-0.380958699,79.510000000,9.770000000,-257.960000000
0B,0.470452717,-0.519358197,0.603367611,-0.380642653,79.530000000,9.820000000,-257.980000000
0B,0.469245542,-0.520250493,0.601958423,-0.383137185,79.520000000,9.780000000,-257.990000000
0B,0.468722337,-0.518024687,0.602828728,-0.385418368,79.460000000,9.120000000,-257.630000000
0B,0.468043575,-0.517648193,0.603156153,-0.386235958,79.450000000,9.180000000,-257.600000000
0B,0.467849667,-0.514154583,0.610064765,-0.380240367,79.520000000,9.290000000,-257.490000000
0B,0.467552065,-0.512857110,0.613668336,-0.376541930,79.540000000,9.410000000,-257.340000000
0B,0.467346597,-0.509150765,0.621361953,-0.369136805,79.510000000,9.540000000,-257.010000000
0B,0.464929080,-0.504031526,0.626739201,-0.370123150,79.500000000,9.680000000,-256.890000000
0B,0.463351831,-0.495855467,0.632670771,-0.373041729,79.560000000,9.970000000,-256.900000000
0B,0.461350461,-0.492453863,0.635069461,-0.375941119,79.530000000,10.020000000,-256.830000000
0B,0.453932777,-0.488335262,0.639346166,-0.383027658,79.560000000,10.300000000,-256.720000000
0B,0.447039668,-0.484342978,0.646357354,-0.384434112,79.620000000,10.560000000,-256.310000000
0B,0.444235929,-0.481838970,0.650152583,-0.384431092,79.720000000,10.810000000,-256.240000000
0B,0.441627793,-0.473529800,0.658341431,-0.383824155,79.720000000,11.100000000,-256.020000000
0B,0.437141795,-0.464544415,0.662763367,-0.392237502,79.800000000,11.370000000,-256.080000000
0B,0.434745488,-0.451247214,0.666969785,-0.403142181,79.860000000,11.640000000,-256.170000000
0B,0.433657962,-0.445359526,0.667789256,-0.409454727,79.890000000,11.850000000,-256.240000000
0B,0.428531985,-0.437632664,0.665449668,-0.426631843,79.980000000,12.160000000,-256.500000000
0B,0.423941239,-0.437542562,0.656463857,-0.444843272,80.140000000,12.480000000,-257.110000000
0B,0.433350839,-0.431850663,0.652576558,-0.447052447,80.050000000,12.230000000,-257.490000000
0B,0.438954396,-0.428653120,0.649280461,-0.449455698,80.070000000,12.250000000,-257.690000000
0B,0.437232407,-0.428931791,0.646647928,-0.454633696,80.140000000,12.220000000,-257.790000000
0B,0.442950112,-0.416147079,0.640272435,-0.469753144,80.270000000,12.590000000,-258.520000000
0B,0.447645490,-0.410141679,0.637264759,-0.474648234,80.340000000,12.690000000,-258.860000000
0B,0.449420274,-0.409418469,0.635528669,-0.475921469,80.360000000,12.640000000,-258.980000000
0B,0.455520191,-0.410718205,0.630627953,-0.475521078,80.370000000,12.420000000,-259.020000000
0B,0.457566180,-0.420060756,0.619989672,-0.479369334,80.180000000,11.950000000,-259.340000000
0B,0.437035259,-0.446536026,0.596448120,-0.503840649,80.200000000,11.750000000,-259.640000000
0B,0.418561217,-0.465168033,0.579084694,-0.522576430,80.590000000,11.930000000,-260.230000000
0B,0.440824594,-0.460125671,0.578132255,-0.509628433,80.010000000,10.880000000,-259.830000000
0B,0.443538789,-0.466440792,0.563049241,-0.518345331,80.090000000,10.630000000,-260.570000000
0B,0.430021740,-0.478324182,0.541627383,-0.541227362,80.080000000,10.660000000,-261.040000000
0B,0.423944319,-0.483250519,0.532255642,-0.550857587,80.200000000,10.500000000,-261.110000000
0B,0.427534925,-0.486339728,0.526342996,-0.551045014,80.180000000,10.280000000,-261.330000000
0B,0.439131944,-0.484935275,0.527338360,-0.542139437,80.190000000,10.030000000,-261.310000000
0B,0.447542422,-0.485546025,0.527249978,-0.534750689,80.210000000,9.910000000,-261.480000000
0B,0.449454347,-0.488659087,0.525563550,-0.531964324,80.080000000,9.620000000,-261.220000000
0B,0.451022493,-0.499024887,0.519925929,-0.526526259,79.980000000,9.400000000,-261.340000000
0B,0.459451723,-0.510057420,0.517958310,-0.510357454,79.910000000,9.100000000,-261.270000000
0B,0.477469952,-0.517275784,0.526077073,-0.477169908,79.720000000,8.390000000,-260.770000000
0B,0.485034298,-0.521836900,0.530337501,-0.459532495,79.660000000,8.090000000,-260.510000000
0B,0.495776715,-0.530382070,0.537483169,-0.428966377,79.670000000,7.840000000,-260.260000000
0B,0.503854482,-0.535557910,0.545959035,-0.401543419,79.720000000,7.710000000,-259.870000000
0B,0.506349030,-0.537152012,0.550053261,-0.390537816,79.680000000,7.530000000,-259.610000000
0B,0.509861784,-0.536364995,0.559767831,-0.372845180,79.560000000,7.540000000,-259.390000000
0B,0.511560560,-0.531862963,0.572667794,-0.357042267,79.560000000,7.620000000,-259.070000000
0B,0.511367784,-0.525969719,0.590078217,-0.337144690,79.540000000,7.920000000,-258.390000000
0B,0.509268275,-0.523070125,0.600180463,-0.326843818,79.530000000,8.090000000,-258.140000000
0B,0.499263585,-0.518165993,0.621979214,-0.308839333,79.570000000,8.400000000,-257.090000000
0B,0.482333943,-0.516136322,0.642445210,-0.297020902,79.730000000,8.960000000,-255.930000000
0B,0.474857437,-0.510461744,0.656179370,-0.288734925,79.830000000,9.040000000,-255.510000000
0B,0.468644080,-0.485745689,0.691265020,-0.258024270,80.020000000,10.230000000,-254.040000000
0B,0.456642776,-0.471944209,0.708566375,-0.258224189,80.210000000,10.900000000,-253.310000000
0B,0.451422612,-0.456022843,0.716935912,-0.272513651,80.110000000,11.400000000,-253.370000000
