tool_id,qw,qx,qy,qz,x,y,z
0B,0.093208825,-0.710867305,0.296428066,-0.630959739,79.600000000,0.920000000,-174.970000000
0B,0.094109474,-0.710671547,0.297029904,-0.630763502,79.590000000,0.910000000,-174.970000000
0B,0.095209650,-0.710372003,0.298030208,-0.630463904,79.580000000,0.930000000,-174.980000000
0B,0.095610308,-0.710276579,0.298332165,-0.630367964,79.580000000,0.940000000,-174.980000000
0B,0.096611879,-0.709887286,0.299336806,-0.630177485,79.580000000,0.950000000,-174.980000000
0B,0.097304598,-0.709633531,0.299814167,-0.630129774,79.570000000,0.950000000,-174.990000000
0B,0.097706943,-0.709350408,0.300321342,-0.630144780,79.570000000,0.950000000,-174.990000000
0B,0.097709829,-0.709071329,0.300730252,-0.630263401,79.570000000,0.960000000,-174.980000000
0B,0.097405389,-0.708839214,0.301016653,-0.630434877,79.580000000,0.970000000,-174.980000000
0B,0.096810350,-0.708575754,0.301132194,-0.630767436,79.580000000,0.960000000,-174.980000000
0B,0.096305694,-0.708541894,0.301017798,-0.630937305,79.600000000,0.980000000,-175.000000000
0B,0.095808673,-0.708664148,0.300427194,-0.631157132,79.600000000,0.970000000,-175.000000000
0B,0.095804057,-0.709130032,0.299812697,-0.630926720,79.620000000,0.970000000,-175.060000000
0B,0.095206948,-0.709451774,0.299621866,-0.630746030,79.590000000,0.930000000,-175.020000000
0B,0.094610500,-0.709678765,0.299433233,-0.630669996,79.580000000,0.930000000,-175.020000000
0B,0.087807635,-0.709561699,0.305126532,-0.629054699,79.640000000,1.260000000,-174.790000000
0B,0.083008485,-0.713372918,0.303731046,-0.626063993,79.620000000,1.340000000,-174.590000000
0B,0.082104508,-0.717939423,0.299416441,-0.623034212,79.630000000,1.220000000,-174.480000000
0B,0.086910526,-0.722787538,0.296035854,-0.618374893,79.690000000,1.020000000,-174.320000000
0B,0.094009276,-0.727671803,0.292728885,-0.613160504,79.710000000,0.640000000,-174.110000000
0B,0.101606680,-0.731548097,0.289319022,-0.608940036,79.750000000,0.410000000,-174.020000000
0B,0.108707729,-0.735152271,0.285120273,-0.605343041,79.820000000,0.130000000,-174.020000000
0B,0.118302570,-0.737416021,0.282706142,-0.601913077,79.820000000,-0.230000000,-173.920000000
0B,0.127317142,-0.738699458,0.278237462,-0.600580862,79.850000000,-0.550000000,-174.060000000
0B,0.135615580,-0.737284704,0.274831574,-0.602069170,79.910000000,-0.710000000,-174.200000000
0B,0.141411009,-0.733757125,0.272821240,-0.605947175,79.890000000,-0.980000000,-174.600000000
0B,0.150415443,-0.727374680,0.276128350,-0.609962625,79.840000000,-1.020000000,-174.990000000
0B,0.156608849,-0.719840672,0.279815810,-0.615634784,79.760000000,-0.990000000,-175.430000000
0B,0.160020285,-0.711890241,0.285036132,-0.621578793,79.740000000,-0.850000000,-175.810000000
0B,0.163313269,-0.704757260,0.293823873,-0.624750760,79.670000000,-0.710000000,-176.030000000
0B,0.163311945,-0.698351079,0.300521981,-0.628745988,79.650000000,-0.460000000,-176.220000000
0B,0.160206424,-0.691427727,0.306212279,-0.634425441,79.570000000,-0.200000000,-176.420000000
0B,0.151907463,-0.684233617,0.310715266,-0.642031544,79.550000000,0.150000000,-176.660000000
0B,0.136512552,-0.676162173,0.314828948,-0.651959947,79.450000000,0.620000000,-176.850000000
0B,0.118410316,-0.669658340,0.318327732,-0.660457538,79.490000000,1.290000000,-176.960000000
0B,0.099205041,-0.665133796,0.322316377,-0.666233852,79.510000000,1.920000000,-177.010000000
0B,0.076708546,-0.663773952,0.324536157,-0.669474587,79.540000000,2.450000000,-176.760000000
0B,0.057702265,-0.663926060,0.327012836,-0.670026299,79.630000000,2.910000000,-176.640000000
0B,0.044802776,-0.666541294,0.332020569,-0.665941256,79.690000000,3.330000000,-176.260000000
0B,0.034204349,-0.672785537,0.335542660,-0.658483718,79.730000000,3.580000000,-175.730000000
0B,0.026901882,-0.681347672,0.339423749,-0.647945335,79.780000000,3.780000000,-175.080000000
0B,0.023801364,-0.690739587,0.342619636,-0.636336469,79.840000000,3.880000000,-174.580000000
0B,0.021900493,-0.700315761,0.344507753,-0.624814062,79.940000000,3.870000000,-173.970000000
0B,0.020001120,-0.709939768,0.345019327,-0.613634374,80.010000000,3.830000000,-173.340000000
0B,0.012200788,-0.718246400,0.344422250,-0.604439048,80.110000000,3.900000000,-172.800000000
0B,0.001300136,-0.727275892,0.339735452,-0.596362231,80.220000000,4.020000000,-172.370000000
0B,0.003200090,0.739320709,-0.328609204,0.587716462,80.280000000,3.690000000,-171.800000000
0B,0.002500220,-0.753166391,0.314727743,-0.577650919,80.330000000,3.210000000,-171.370000000
0B,0.010701433,-0.768302910,0.292439170,-0.569276251,80.430000000,2.390000000,-170.920000000
0B,0.015001349,-0.784870591,0.257223134,-0.563550685,80.580000000,1.490000000,-170.630000000
0B,0.024801791,-0.797657609,0.227416425,-0.558040303,80.670000000,0.580000000,-170.340000000
0B,0.037203555,-0.803276757,0.215120556,-0.554152952,80.790000000,-0.070000000,-170.290000000
0B,0.045806175,-0.805308559,0.205327679,-0.554274718,80.860000000,-0.470000000,-170.400000000
0B,0.053103993,-0.803360403,0.198714941,-0.558842018,80.880000000,-0.730000000,-170.740000000
0B,0.064306398,-0.799879584,0.193219224,-0.564556170,80.750000000,-1.110000000,-171.040000000
0B,0.073703767,-0.795540657,0.181909297,-0.573229296,80.690000000,-1.650000000,-171.560000000
0B,0.093212034,-0.789601936,0.177722944,-0.579874861,80.740000000,-2.080000000,-172.130000000
0B,0.108011328,-0.781681979,0.175118366,-0.588761747,80.660000000,-2.570000000,-172.680000000
